tipo de cortina,tipo de tela,m2
zebra,BASSIC,22.52
zebra,CRISTAL,25.22
zebra,PREMIUM,30.43
zebra,LUXUR PLUS,33.91
zebra,PRETTY,33.91
zebra,OMEGA,33.91
zebra,OMEGA LINES,42.61
zebra,PRISMA,42.61
zebra,LUX-COMBI,42.61
zebra,HAWAII,42.61
zebra,VENECIA,42.61
zebra,DIAMONT,42.61
zebra,SEVEN,42.61
zebra,NEW PRINCE,42.61
zebra,PRINCE,42.61
zebra,MILANO TONE,42.61
zebra,TABLES ,42.61
zebra,CUBE,45.22
zebra,STYLUS,45.22
zebra,MIRAGE,45.22
zebra,MADERADA,45.22
zebra,BLACKOUT,52.09
zebra,BLACKOUT-ECO,52.09
zebra,BLACKOUT JOCKER,52.09
roller,TRANSLUCIDO,27.83
roller,SCREEN,30.43
roller,BLACKOUT,33.04
ROMANAS,TRANSLUCIDO,34.78
ROMANAS,SCREEN,39.13
ROMANAS,BLACKOUT,43.39
PANEL JAPONES,TRANSLUCIDO,43.39
PANEL JAPONES,SCREEN,47.83
PANEL JAPONES,BLACKOUT,51.30
DOMOS/CLARABOYAS,UNICA,51.30
IMPRESIÓN CENEFA (COCINA) 30CM ML.,UNICA,13.04
IMPRESIÓN ENROLLABLES,UNICA,15.65
IMPRESIÓN ROMANAS,UNICA,15.65
IMPRESIÓN ZEBRAS,UNICA,15.65
IMPRESIÓN PANEL JAPONES,UNICA,15.65
CENEFA CASSETTE (ROLLER),UNICA,13.04
CENEFA CASSETTE (PANEL JAPONES),UNICA,15.65
CENEFA PARA PERSIANA VERTICAL,UNICA,8.61
CENEFA RECTA MALAMÍNICO / TAPIZADO,UNICA,30.43
BRISSA,UNICA,52.09
BRISSA DISEÑO + DIMOUT,UNICA,60.00
MOTOR PARA BRISSA,UNICA,217.39
